Univ_ZhT_Strd,Univ_Eng,Status_ZhT,Status_Eng
安徽女子師範學校,Anhui Women's Normal School,,
安徽宣城師範學校,Anhui Xuancheng Normal School,,
安慶皖江師範專科學校,Anqing Wanjiang Teachers College,,
青山學院大學,Aoyama Gakuin University,,
應用地球物研所,Applied Geophysical Research Institute,,
陸軍炮兵工程學院,Army Artillery Engineering College,,
陸軍炮兵學校,Army Artillery School,,
陸軍航空兵戰術學校,Army Aviation Tactics School,,
陸軍高等經理學校,Army High School of Managers,,
陸軍步兵學校,Army Infantry School,,
陸軍經理學校,Army Manager School,,
陸軍機械化學校,Army Mechanization School,,
陸軍軍醫學校,Army Medical School,,
陸軍士官學校等,Army Non-commissioned Academy,,
陸軍軍官學校,Army Officer School,,
陸軍部先兵學校,Army Pioneer School,,
陸軍軍需學校,Army Quartermaster School,,
陸軍通信兵學校,Army Signal Corps School,,
陸軍參謀大學,Army Staff University,,
陸軍步校,Army Step School,,
陸軍測繪學校,Army Surveying and Mapping School,,
陸軍大學,Army University,,
陸軍獸醫學校,Army Veterinary School,,
炮兵專科學校,Artillery Academy,,
炮兵學校,Artillery school,,
藝術專科學校,arts college,,
震旦大學,Aurora University,,C
自動車學校,Auto school,,
航空機械學校,Aviation Machinery School,,
班納消防工程專科學校,Banna Fire Engineering Vocational College,,
保定農學院,Baoding Agricultural College,,
保定北大農科,Baoding Beijing University Agricultural Science,,
保定甲種工業專門學校,Baoding Class A Industrial College,,
保定留法高等工藝學校,Baoding French Higher Polytechnic School,,
保定軍官學校,Baoding Military Academy,,C
保定師範學校,Baoding Normal School,,
保定第二師範學校,Baoding Second Normal School,,
保定育德學校,Baoding Yude School,,
寶山縣立師範學校,Baoshan County Normal School,,
浸會中學,Baptist Secondary School,,
巴士特衛生院,Bast Health Center,,
法屬東京巴維師範大學,Bawei Normal University,,
北京崇貞女學校,Beijing Chongzhen Girls' School,,
北京公民大學,Beijing Citizen University,,
北京土木工程學校,Beijing Civil Engineering School,,
北京參贊學校,Beijing Counselor School,,
北京方正商業學校,Beijing Fangzheng Business School,,
北京財政商業專門學校,Beijing Financial and Commercial College,,
北京第一助產學校,Beijing First Midwifery School,,
北京外國語專門學校,Beijing foreign language school,,
北京參謀本部航空專門學校,Beijing General Staff Aviation College,,
北京高等法文學校,Beijing Higher French School,,
北京弘慈佛學專校,Beijing Hongci Buddhist College,,
北京弘達學院,Beijing Hongda College,,
北京匯文大學,Beijing Huiwen University,,
北京國學研究所,Beijing Institute of Chinese Studies,,
北京國際大學,Beijing International University,,
北京交通大學,Beijing Jiaotong University,,
北京京華美術學院,Beijing Jinghua Academy of Fine Arts,,
北京京華大學,Beijing Jinghua University,,
北京新聞學校,Beijing Journalism School,,
北京孔德學校,Beijing Kongde School,,
北京法政專門學校,Beijing Law and Politics School,,
北京明德大學,Beijing Mingde University,,
北京蒙藏學校,Beijing Mongolian and Tibetan School,,
北京市立體育專科學校,Beijing Municipal Sports College,,
北京國立農業專門學校,Beijing National Agricultural College,,
北京國立醫學專門學校,Beijing National Medical College,,
北京國立法政專門學校,Beijing National School of Law and Politics,,
北京國立工業專門學校,Beijing National Technical College,,
北京民國大學,Beijing National University,,
北京第一英文學校,Beijing No. 1 English School,,
北京師範大學,Beijing Normal University,,
北京師范大學,Beijing Normal University,,
農工商部立京師高等實業學堂,Beijing Normal University Industrial School,,
北京公益高級職業學校,Beijing Philanthropy Senior Vocational School,,
北京平民大學,Beijing Pingmin University,,
北京警官高等學校,Beijing Police Academy,,
北京私立中央法政專門學校,Beijing Private Central School of Law and Politics,,
北京私立商業專門學校,Beijing Private Commercial College,,
北京私立通才商業專門學校,Beijing Private Generalist Business School,,
北京清河陸軍預備學校,Beijing Qinghe Army Preparatory School,,
北京鐵道管理學院,Beijing Railway Management College,,
北京人佑英文商業專校,Beijing Renyou English Business School,,
北京俄文法政專,Beijing Russian Law and Political College,,
北京鹽務學校,Beijing Salt School,,
北京經文高級學校,Beijing scripture high school,,
北京高級職業學校,Beijing Senior Vocational School,,
北京中德學校,Beijing Sino-German School,,
北京南方大學,Beijing Southern University,,
北京監務專門學校,Beijing Supervisory College,,
北京稅務學校,Beijing Tax School,,
北京臨大,Beijing Temporary University,,
北京協和醫學院,Beijing Union Medical College,,V
北平臨大,Beijing University,,V
國立北京大學,Beijing University,,
北京獸醫專門學校,Beijing Veterinary School,,
北京文匯大學,Beijing Wenhui University,,
北京文治大學,Beijing Wenzhi University,,
北京育英大學,Beijing Yuying University,,
北滿工業大學,Beiman University of Technology,,
北平弘慈佛學專校,Beiping Hongci Buddhist School,,
北平市立體育專科學校,Beiping Municipal Sports College,,
北平私立商業專門學校,Beiping Private Commercial College,,
北平公益高級職業學校,Beiping Public Welfare Senior Vocational School,,
北洋女子師範學校,Beiyang Girls' Normal School,,
北洋法政專門學堂,Beiyang Law and Politics School,,
北洋武備學堂,Beiyang Military Academy,,
北洋大學,Beiyang University,,
北洋大學堂,Beiyang University,,
北洋大學工學院,Beiyang University,,
伯特利產科學校,Bethel Maternity School,,
伯特利醫學學校,Bethel School of Medicine,,
並州大學,Bingzhou University,,
布裏村留法初級工藝學校,Brie Village Elementary School of Arts and Crafts,,
布林馬爾大學,Brynmar University,,
商業專科學校,Business Vocational School,,
扶余私立女子師範講習所,Buyu Private Women's Teacher Training Center,,
康托爾培裏耶稣會文學院,Cantor Perry Jesuit College of Arts,,
中央陸軍軍官學校,Central Army Military Academy,,
中央陸軍軍需學校,Central Army Supply School,,
中央陸軍測量學校,Central Army Surveying School,,
中央航空學校,Central Aviation School,,
中央陸地測量學校,Central Land Survey School,,
中央軍官學校,Central Military Academy,,
中央軍政學校,Central Military and Political School,,
中央軍事政治學校,Central Military Political School,,
中央黨務學校,Central Party School,,
中央警官學校,Central Police Academy,,
中央警察學校,Central Police Academy,,
中央政治學校,Central Political School,,
中央政治工作人員養成所,Central Political Staff Training Institute,,
中央政治大學,Central Political University,,
中央體育專門學校,Central Sports College,,
中央技藝專科學校,Central Technical College,,
中央訓練團當政訓練班,Central Training Corps Political Training Class,,
中訓團當政訓練班,Central Training Corps Political Training Class,,
中央大學,Central University,,
察哈爾農業專科學校,Chahar Agricultural College,,
長春商業學校,Changchun Business School,,
長春留日學生預備學校,Changchun Preparatory School for Students studying in Japan,,
常德湘西優級師範學校,Changde Xiangxi Superior Normal School,,
長沙陸軍軍事政治學校,Changsha Army Military and Political School,,
長沙師范學校,Changsha Normal School,,
昌世中學,Changshi Middle School,,
長辛店京漢鐵路車務見習所,Changxindian Jinghan Railway Train Service Trainee,,
防化學院,Chemical Defense College,,
成都空軍器械學校,Chengdu Air Force Machinery School,,
成都縣立高級中學,Chengdu County High School,,
成都錦江公學,Chengdu Jinjiang University,,
成都機器學堂,Chengdu Machine School,,
成都機械工專,Chengdu Mechanical Engineering College,,
成都師範大學,Chengdu Normal University,,
成都留法勤工儉學預備學校,Chengdu Preparatory School for Work-Study Study in France,,
成都私立明德學院,Chengdu Private Mingde College,,
成都大學,Chengdu University,,
澄裡小學,Chengli Primary School,,
承天中學,Chengtian Middle School,,
晨光大學,Chenguang University,,
澄衷中學,Chengzhong Middle School,,
澄衷學堂,Chengzhong School,,
中國學院,China Academy,,
中華藝術大學,China Art University,,
中國工學大學部,China College of Engineering,,
中國公學大學部,China College University Department,,
中國體操學校,China Gymnastics School,,
中國哈薩克佛醫學校,China Kazakh Buddhist Medical School,,
中華法政大學,China Law and Political University,,
神州法律學院,China Law School,,
中國公學,China Public School,,
中國無線電工程學校,China Radio Engineering School,,
中國無線電專門學校,China Radio School,,
中國新聞學院,China School of Journalism,,
中國無電專門學校,China Telecommunications College,,
中國大學,China University,,
中國女子體育師范,China Women's Sports Normal University,,
中國青年會全國協會體專,China Youth Association National Association Physical Education School,,
中新紡織專科學校,China-Singapore Textile College,,
中國齒科醫學專門學校,Chinese College of Dental Medicine,,
中國紅十字會護士學校,Chinese Red Cross Nursing School,,
持志學院,Chizhi College,,
持治學院,Chizhi College,,
持志學校,Chizhi School,,
持志大學,Chizhi University,,
崇德醫學院,Chongde Medical College,,
重慶法政專門學校,Chongqing Law and Politics College,,
重慶第二女子師範學校,Chongqing No. 2 Girls' Normal School,,
重慶大學,Chongqing University,,
崇正商學校,Chongzheng Business School,,
川東縣立師范學校,Chuandong County Normal School,,
中正醫學院,Chung Cheng Medical College,,
中正大學,Chung Cheng University,,
中華大學,Chung-hua University,,
春申大學,Chunshen University,,
科恩學院,Cohen College,,
專修大學,College,,
藥學專科學校,College of Pharmacy,,
共青團中央團校,Communist Youth League Central School,,
所計算中心,Computing Center,,
建設大學,Construction University,,
大陸商業專門學校,Continental Commercial College,,
大陸大學,Continental University,,
柯勒拉礦業學校,Correra School of Mines,,
聖芳經濟學院,Cuihua Accounting School,,
萃華會計學校,Cuihua Accounting School,,
文化大學,Culture University,,
庫興學院,Cushing College,,
大華醫學校,Dahua Medical School,,
大連商業學校,Dalian Business School,,
大連伏見台公學,Dalian Fushimitai Public School,,
大連高等女學校,Dalian Higher Girls' School,,
大連鐵道教習所,Dalian Railway Institute,,
大連協和實業學校,Dalian Union Industrial School,,
大連女子技藝學校,Dalian Women's Art School,,
湖南省道縣師範學校,Daoxian Normal School of Hunan Province,,
大埔縣立師範學校,Dapu County Normal School,,
高等大同學校,Datong College,,
大同高等學校,Datong Higher School,,
大通師範學堂,Datong Normal School,,
大同大學,Datong University,,
大衛•愛紐斯音樂學院,David Aynius School of Music,,
德爾夫特科技大學,Delft University of Technology,,
墊江書院,Dianjiang Academy,,
第戌大學,Dixu University,,
東斌陸軍學院,Dongbin Army Academy,,
東斌軍事學校,Dongbin Military School,,
東斌學校,Dongbin School,,
東陸大學,Donglu University,,
東亞體育專科學校,Dongya Sports Vocational School,,
德萊伯的西大學,Dreiber's Western University,,
德魯浦科技大學,Drupp University of Technology,,
待爾模大學,Durmo University,,
亞東大學,East Asia University,,
華東體育專門學校,East China Sports College,,
東方大學,Eastern University,,
第八高等學校,Eighth Higher School,,
電機學校,electrical engineering school,,
工部局育才公學,Ellis Kadoorie Public School for Chinese,,
百科學校,Encyclopedia School,,
眼科研究所,Eye Institute,,
遠東大學,Far Eastern University,,
奉天美術專門學校,Fengtian Art College,,
奉天文學專門學校,Fengtian Astronomy College,,
奉天商業專門學校,Fengtian Commercial College,,
奉天水產學校,Fengtian Fisheries School,,
奉天女子職業學校,Fengtian Girls' Vocational School,,
奉天高等女學校,Fengtian High School for Girls,,
奉天高等學堂,Fengtian Higher School,,
奉天實業補修學校,Fengtian Industrial Remedial School,,
奉天日語學校,Fengtian Japanese Language School,,
奉天濟民女子學院,Fengtian Jimin Women's College,,
奉天法政專門學堂,Fengtian Law and Politics School,,
奉天法政專門學校,Fengtian Law and Politics Vocational School,,
奉天國立農業大學,Fengtian National Agricultural University,,
奉天培英專門學校,Fengtian Peiying College,,
奉天警官學校,Fengtian Police Officer School,,
奉天省立商業學校,Fengtian Provincial Commercial School,,
奉天省立第五師範學校,Fengtian Provincial Fifth Normal School,,
奉天省立第一師範學校,Fengtian Provincial First Normal School,,
奉天省立第四師範學校,Fengtian Provincial Fourth Normal School,,
奉天省立女子師範學校,Fengtian Provincial Girls' Normal School,,
奉天省立海城師範學校,Fengtian Provincial Haicheng Normal School,,
奉天省立文學專門學校,Fengtian Provincial Literature Vocational School,,
奉天省立師範學校,Fengtian Provincial Normal School,,
奉天省立第三師範學校,Fengtian Provincial Third Normal School,,
奉天省立兩級師範高等專修科,Fengtian Provincial Two-level Normal Higher Education Course,,
奉天公立外國語專門學校,Fengtian Public Foreign Language College,,
奉天公學校,Fengtian Public School,,
奉天公立法政專門學校,Fengtian Public School of Law and Politics,,
奉天公立工業專門學校,Fengtian Public Technical College,,
奉天文會書院,Fengtian Society College,,
奉天同文商業學校,Fengtian Tongwen Business School,,
奉天兩級師范學校,Fengtian Two-level Normal School,,
奉天西安師範學校,Fengtian Xi'an Normal School,,
奉天義縣師範陸軍教道隊,Fengtianyi County Normal Army Teaching Team,,
馮庸大學,Fengyong University,,
野戰炮校,Field Artillery School,,
第一高等學校,First Higher School,,
第一步兵學校,First Infantry School,,
第一醫學院,First medical school,,
自然博物院魚類研究室,Fish Research Laboratory of Natural Museum,,
聖芳濟學院,Franciscan College,,
輔仁大學,Fu-jen University,,
復旦實驗中學,Fudan Experimental High School,,
福建國學專修學校,Fujian Chinese Studies School,,
福建集美學校,Fujian Jimei School,,
福建武備學堂,Fujian Military Academy,,
福建水師學堂,Fujian Naval Academy,,
福建省立農學院,Fujian Provincial Agricultural College,,
福建省立第一女子師範學校,Fujian Provincial First Girls' Normal School,,
福建省立高等師範學校,Fujian Provincial Higher Normal School,,
福建省立工業職業學校,Fujian Provincial Industrial Vocational School,,
福建省立醫學院,Fujian Provincial Medical College,,
福建公立法政專門學校,Fujian Public Law and Politics Vocational School,,
福建第二師教道團,Fujian Second Teacher Mission,,
福建船政學堂,Fujian Shipping School,,
福建體育學校,Fujian Sports School,,
福建工業專門學校,Fujian Technical College,,
福建協和大學,Fujian Union University,,
福建學院,Fujian University,,
福建延平醫專,Fujian Yanping Medical College,,
奉天省撫順縣警務局,Fushun County Police Bureau,,
撫順礦山學校,Fushun Mining School,,
輔延女子師範學校,Fuyan Girls' Normal School,,
福州博濟會醫學講習所,Fuzhou Boji Medical Seminar,,
福州東贏學校,Fuzhou Dongying School,,
福州格致書院,Fuzhou Gezhi Academy,,
福州南華大學,Fuzhou Nanhua University,,
福州海軍學校,Fuzhou Naval School,,
蓋平縣立師範學校,Gaiping County Normal School,,
蓋平公學校,Gaiping public school,,
崗山第六高等學校,Gangshan Sixth High School,,
甘肅省畜牧學校,Gansu Animal Husbandry School,,
甘肅甲工學校,Gansu Jiagong School,,
甘肅學院,Gansu University,,
格致公學,Gezhi Academy,,
格致書院,Gezhi College,,
鞏縣女子師範,Gongxian Women's Normal School,,
廣安縣立中學,Guang'an County Middle School,,
粵阿厚書院,Guangdong Ahou College,,
廣東陸軍講武堂,Guangdong Army Lecture Hall,,
粵軍軍官講習所,Guangdong Army Officers' Workshop,,
廣東陸軍測量學校,Guangdong Army Survey School,,
廣東甲種商業學校,Guangdong Class A Business School,,
廣東大沙頭航空學校,Guangdong Dashatou Aviation School,,
廣東方言館,Guangdong Dialect Museum,,
廣東小學,Guangdong Elementary School,,
廣東守備軍幹部教道隊,Guangdong Garrison Army Cadre Teaching Taoism Team,,
廣東官立法政學堂,Guangdong Government Law and Politics School,,
廣東光華醫學院,Guangdong Guanghua Medical College,,
廣東高等實業學校,Guangdong Higher Industrial School,,
廣東高等警官學校,Guangdong Higher Police Academy,,
廣東高等學堂,Guangdong Higher School,,
廣東江村師範學校,Guangdong Jiangcun Normal School,,
廣東新聞學院,Guangdong Journalism Institute,,
廣東法官學校,Guangdong Judges School,,
廣東地政工作人員養成所,Guangdong Land Management Staff Training Institute,,
廣東梅縣農業學校,Guangdong Meixian Agricultural School,,
廣東軍官學校,Guangdong Military Academy,,
廣東軍警教練所,Guangdong Military Police Training Institute,,
廣東軍事政治學校,Guangdong Military Political School,,
廣東南越大學,Guangdong Nanyue University,,
廣東國民大學,Guangdong National University,,
廣東海軍學校,Guangdong Naval Academy,,
廣東番禺師範學校,Guangdong Panyu Normal School,,
廣東培正學院,Guangdong Peizheng College,,
廣東小學教員訓練所,Guangdong Primary School Teacher Training Institute,,
廣東省立第一甲種工業學校,Guangdong Provincial First Class A Industrial School,,
廣東省立女子師範學校,Guangdong Provincial Girls' Normal School,,
廣東省立工業專科學校,Guangdong Provincial Industrial College,,
廣東省立工業專業學校,Guangdong Provincial Industrial Vocational School,,
廣東省立教忠學校,Guangdong Provincial Jiaozhong School,,
廣東省立警監專門學校,Guangdong Provincial Police Supervision School,,
廣東省立勷勤大學,Guangdong Provincial Xiangqin University,,
廣東公立法政專門學校,Guangdong Public School of Law and Politics,,
廣東順德浪華學院,Guangdong Shunde Langhua College,,
廣東台山縣立師範學校,Guangdong Taishan County Normal School,,
廣東協和大學,Guangdong Union University,,
廣東無線電報學校,Guangdong Wireless Telegraph School,,
廣東婦孺產科專門學校,Guangdong Women and Children Obstetrics Specialized School,,
廣東耶教學堂,Guangdong Yale Church,,
廣東肇慶中學,Guangdong Zhaoqing Middle School,,
廣東知用大學,Guangdong Zhiyong University,,
廣濟縣中學,Guangji County Middle School,,
廣濟縣立中學,Guangji County Middle School,,
廣文學堂,Guangwen xuetang,,
廣西航空運動學校,Guangxi Aviation Sports School,,
廣西中央軍事第一分校,Guangxi Central Military First Branch,,
廣西高等學堂,Guangxi Higher School,,
廣西地方武裝團體訓練員養成所,Guangxi local armed group trainer training center,,
廣西師範學校,Guangxi Normal School,,
廣西省立醫學院,Guangxi Provincial Medical College,,
廣西公立法政專門學校,Guangxi Public School of Law and Politics,,
廣西大學,Guangxi University,,
廣雅書院,Guangya College,,
廣州高級會計學校,Guangzhou Advanced Accounting School,,
廣州英文專門學校,Guangzhou English College,,
廣州建華工程學校,Guangzhou Jianhua Engineering School,,
廣州中學,Guangzhou Middle School,,
廣州市立商業專門學校,Guangzhou Municipal Commercial College,,
廣州市立職業學校,Guangzhou Municipal Vocational School,,
廣州府中學,Guangzhou Prefectural Middle School,,
廣州私立美術學校,Guangzhou Private Art School,,
廣州柔濟醫學校,Guangzhou Rouji Medical School,,
廣州圖強產科專科學校,Guangzhou Tuqiang Obstetrics College,,
廣州大學,Guangzhou University,,
廣州獸醫牧畜學校,Guangzhou Veterinary Animal Husbandry School,,
廣州夏葛醫科大學,Guangzhou Xiage Medical University,,
貴陽醫學院,Guiyang Medical College,,
貴州崇武學校,Guizhou Chongwu School,,
貴州法政專門學校,Guizhou Law and Politics College,,
貴州講武堂,Guizhou Lecture Hall,,
貴州軍官學校,Guizhou Military Academy,,
貴州省立女子師範學校,Guizhou Provincial Girls' Normal School,,
貴州大學,Guizhou University,,
國華中學,Guohua Middle School,,
海倫師範學校,Hailun Normal School,,
海濤中學,Haitao Middle School,,
涵德商校,Hande Business School,,
杭州藝專,Hangzhou Art College,,
杭州甲種工業學校,Hangzhou Class A Industrial School,,
杭州第一師範學校,Hangzhou No. 1 Normal School,,
杭州私立弘道女學,Hangzhou Private Hongdao Girls' School,,
杭州高級英語學校,Hangzhou Senior English School,,
杭州高級師範學校,Hangzhou Senior Normal School,,
漢口博學書院,Hankou Boxue Academy,,
漢口明德大學,Hankou Mingde University,,
漢口心勉女子中學,Hankou Xinmian Girls' Middle School,,
浩然學校,Haoran School,,
哈爾濱學院,Harbin College,,
哈爾濱大陸學院,Harbin Continental College,,
哈爾濱高等警察學校,Harbin Higher Police School,,
哈爾濱工業大學,Harbin Institute of Technology,,
哈爾濱日語學校,Harbin Japanese Language School,,
哈爾濱法政大學,Harbin Law and Political University,,
哈爾濱龍江學院,Harbin Longjiang University,,
哈爾濱醫學校,Harbin Medical School,,
哈爾濱鐵路學院,Harbin Railway Institute,,
哈爾濱俄文法專,Harbin Russian Grammar,,
哈爾濱中俄工業大學,Harbin Sino-Russian University of Technology,,
中國哈佛醫學院,Harvard Medical School,,
希敦飛機實驗學校,Hayden Aircraft Experimental School,,
河北美術專門學校,Hebei Academy of Fine Arts,,
河北定縣平民教育專科學校,Hebei Dingxian Civilian Education College,,
河北工業學院,Hebei Institute of Technology,,
河北法商學院,Hebei Law and Business School,,
河北醫學院,Hebei Medical College,,
河北第六女子師範學校,Hebei No. 6 Girls' Normal School,,
河北省立農學院,Hebei Provincial Agricultural College,,
河北省立水產專科學校,Hebei Provincial Fisheries College,,
河北省立法商學院,Hebei Provincial Law and Business College,,
河北省立師範學校,Hebei Provincial Normal School,,
河北省立民眾教育實驗學校,Hebei Provincial People's Education Experimental School,,
河北省立第二職業學校,Hebei Provincial Second Vocational School,,
河北省立女子學院,Hebei Provincial Women's College,,
河北省立女子師範學院,Hebei Provincial Women's Teachers College,,
河北公立法政專門學校,Hebei Public School of Law and Politics,,
河北三女子師範文化裁縫學校,Hebei Three Girls Normal Culture Tailoring School,,
河北大學,Hebei University,,
黑龍江第一工科學校,Heilongjiang First Engineering School,,
黑龍江第一女子師範學校,Heilongjiang No. 1 Girls' Normal School,,
黑龍江省寧安師範專科學校,Heilongjiang Province Ning'an Teachers College,,
黑龍江省立師範學校,Heilongjiang Provincial Normal School,,
黑龍江省公立法政專門學校,Heilongjiang Provincial School of Law and Politics,,
河南福中礦務學校,Henan Fuzhong Mining School,,
河南省焦作工學院,Henan Jiaozuo Institute of Technology,,
河南師範學校,Henan Normal School,,
河南省立第一甲種工業學校,Henan Provincial First Class A Industrial School,,
河南省立第一女子師範學校,Henan Provincial First Girls' Normal School,,
河南省立第一高中,Henan Provincial First High School,,
河南省立第三師範學校,Henan Provincial Third Normal School,,
河南公立農業專門學校,Henan Public Agricultural College,,
河南公立法政專門學校,Henan Public School of Law and Politics,,
河南留學歐美預備學校,Henan study abroad in Europe and the United States,,
河南大學,Henan University,,
河南水利工程專門學校,Henan Water Conservancy Engineering College,,
河南省衛輝高等專門法文學校,Henan Weihui Higher Specialized French School,,
高等美術學校,Higher Art School,,
香港官立實業專科大學,Hong Kong Government Polytechnic University,,
香港法政學院,Hong Kong Law School,,
宏才大學,Hongcai University,,
紅蘭女學校,Honglan Girls' School,,
紅旗空軍學院,Hongqi Air Force Academy,,
黃埔軍校,Huangpu Military Academy,,
華仁學院,Huaren College,,
華亞預備學校,Huaya Preparatory School,,
華洋汽車工程學校,Huayang Automotive Engineering School,,
華中美術專科學校,Huazhong Academy of Fine Arts,,
湖北陸軍軍醫學堂,Hubei Army Military Medical School,,
湖北官立法政學堂,Hubei Government Law and Politics School,,
湖北高等農林學校,Hubei Higher Agriculture and Forestry School,,
湖北教育學院,Hubei Institute of Education,,
湖北師範學校,Hubei Normal School,,
湖北私立法政專門學校,Hubei Private School of Law and Politics,,
湖北省立高級商業學校,Hubei Provincial Advanced Commercial School,,
湖北省立高級工業學校,Hubei Provincial Advanced Industrial School,,
湖北省立第一師范,Hubei Provincial First Normal School,,
湖北省立法政專門學校,Hubei Provincial Law and Politics Vocational School,,
湖北省立師范學校,Hubei Provincial Normal School,,
湖北省立警官學校,Hubei Provincial Police Academy,,
湖北省警官學校,Hubei Provincial Police Academy,,
湖北省統計班,Hubei Provincial Statistics Class,,
湖北省立文科大學,Hubei Provincial University of Arts and Sciences,,
湖北公立外國語專門學校,Hubei Public Foreign Language College,,
湖北公立法政專門學校,Hubei Public Law and Politics Vocational School,,
湖北省立法政大學,Hubei University of Law and Politics,,
湖北文德書院,Hubei Wende Academy,,
湖北武備學堂,Hubei Wubei School,,
滬海商專學校,Huhai Commercial Vocational School,,
湖南孔道大學,Hunan Kongdao University,,
湖南樂群會計專門學校,Hunan Lequn Accounting College,,
湖南文藝書院,Hunan Literature and Art Academy,,
湖南機專,Hunan Machinery College,,
湖南軍官學校,Hunan Military Academy,,
湖南陸軍講武堂,Hunan Military Academy,,
湖南師范,Hunan Normal University,,
湖南私立群治法政專門學校,Hunan Private Qunzhi Law and Politics Vocational School,,
湖南省立第一女子師範學校,Hunan Provincial First Girls' Normal School,,
湖南省立第一工業學校,Hunan Provincial First Industrial School,,
湖南省立第一師範學校,Hunan Provincial First Normal School,,
湖南省立女子師範學校,Hunan Provincial Girls' Normal School,,
湖南省立高等師範學校,Hunan Provincial Higher Normal School,,
湖南省立第二師範學校,Hunan Provincial Second Normal School,,
湖南省立第六中學,Hunan Provincial Sixth Middle School,,
湖南公立工業專門學校,Hunan Public Industrial College,,
湖南公立法政專門學校,Hunan Public School of Law and Politics,,
湖南高級職業學校,Hunan Senior Vocational School,,
湖南大學,Hunan University,,
滬江大學文學院,Hushu University School of Literature,,
京師法律學堂,Imperial Law School of Beijing,,
京師大學堂,Imperial University of Beijing,,
茵城大學,Incheng University,,
實業學校,Industrial School,,
步兵專校,Infantry Academy,,
步兵學校,Infantry school,,
核物理研究所,Institute of Nuclear Physics,,
熱帶醫學及衛生學研究院,Institute of Tropical Medicine and Hygiene,,
國際大學中國學院,International University Chinese College,,
意奧蘭尼學校,Iolani School,,
陸軍士官學校,Japanese Military Academy (Shikan gakko),,
日德醫學院,Japanese-German Medical School,,
江北縣立中學,Jiangbei County Middle School,,
江都縣立師範學校,Jiangdu County Normal School,,
江南高等學堂,Jiangnan Higher School,,
江南法學院,Jiangnan Law School,,
江南陸軍講武堂,Jiangnan Military Academy,,
江南大學,Jiangnan University,,
江寧中學,Jiangning Middle School,,
江蘇高等學堂,Jiangsu Higher School,,
江蘇教育學院,Jiangsu Institute of Education,,
江蘇法政大學,Jiangsu Law and Political University,,
