Univ_ZhT_Srce;Univ_ZhT_Strd;Univ_Eng;Status_ZhT;Status_Eng;Eng_Source
北京外國語專門學校;北京外國語專門學校;Beijing foreign language school;;;
北京參謀本部航空專門學校;北京參謀本部航空專門學校;Beijing General Staff Aviation College;;;
北京高等法文學校;北京高等法文學校;Beijing Higher French School;;;
北京弘慈佛學專校;北京弘慈佛學專校;Beijing Hongci Buddhist College;;;
北京弘達學院;北京弘達學院;Beijing Hongda College;;;
北京匯文大學;北京匯文大學;Beijing Huiwen University;;;
北京國學研究所;北京國學研究所;Beijing Institute of Chinese Studies;;;
北京國際大學;北京國際大學;Beijing International University;;;
交大北京管理學院;北京交通大學;Beijing Jiaotong University;;;
交大北京鐵道管理院;北京交通大學;Beijing Jiaotong University;;;
交通大學北京學院;北京交通大學;Beijing Jiaotong University;;;
北京交通大學工學院;北京交通大學;Beijing Jiaotong University;;;
北京交通大學鐵路管理學院;北京交通大學;Beijing Jiaotong University;;;
北京交通大學鐵道管理學院;北京交通大學;Beijing Jiaotong University;;;
北京京華美術學院;北京京華美術學院;Beijing Jinghua Academy of Fine Arts;;;
北京京華大學;北京京華大學;Beijing Jinghua University;;;
北京孔德學校;北京孔德學校;Beijing Kongde School;;;
國立北京法政專門學校;北京法政專門學校;Beijing Law and Politics School;;;
北京明德大學;北京明德大學;Beijing Mingde University;;;
北京蒙藏學校;北京蒙藏學校;Beijing Mongolian and Tibetan School;;;
北京市立體育專科學校;北京市立體育專科學校;Beijing Municipal Sports College;;;
北京國立農業專門學校;北京國立農業專門學校;Beijing National Agricultural College;;;
北京國立醫學專門學校;北京國立醫學專門學校;Beijing National Medical College;;;
北京國立法政專門學校;北京國立法政專門學校;Beijing National School of Law and Politics;;;
北京國立工業專門學校;北京國立工業專門學校;Beijing National Technical College;;;
北京民國大學;北京民國大學;Beijing National University;;;
北京第一英文學校;北京第一英文學校;Beijing No. 1 English School;;;
北京第一助產學校;北京第一助產學校;Beijing First Midwifery School;;;
北京師範大學;北京師範大學;Beijing Normal University;;;
北京師范大學教育研究院;北京師范大學;Beijing Normal University;;;
農工商部立京師高等實業學堂;農工商部立京師高等實業學堂;Beijing Normal University Industrial School;;;
北京公益高級職業學校;北京公益高級職業學校;Beijing Philanthropy Senior Vocational School;;;
北京平民大學;北京平民大學;Beijing Pingmin University;;;
北京警官高等學校;北京警官高等學校;Beijing Police Academy;;;
北京私立中央法政專門學校;北京私立中央法政專門學校;Beijing Private Central School of Law and Politics;;;
北京私立商業專門學校;北京私立商業專門學校;Beijing Private Commercial College;;;
北京私立通才商業專門學校;北京私立通才商業專門學校;Beijing Private Generalist Business School;;;
北京清河陸軍預備學校;北京清河陸軍預備學校;Beijing Qinghe Army Preparatory School;;;
北京鐵道管理學院;北京鐵道管理學院;Beijing Railway Management College;;;
北京人佑英文商業專校;北京人佑英文商業專校;Beijing Renyou English Business School;;;
北京俄文法政專;北京俄文法政專;Beijing Russian Law and Political College;;;
北京鹽務學校;北京鹽務學校;Beijing Salt School;;;
北京經文高級學校;北京經文高級學校;Beijing scripture high school;;;
北京高級職業學校;北京高級職業學校;Beijing Senior Vocational School;;;
北京中德學校;北京中德學校;Beijing Sino-German School;;;
北京南方大學;北京南方大學;Beijing Southern University;;;
北京監務專門學校;北京監務專門學校;Beijing Supervisory College;;;
北京稅務學校;北京稅務學校;Beijing Tax School;;;
北京臨大;北京臨大;Beijing Temporary University;;;
北京獸醫專門學校;北京獸醫專門學校;Beijing Veterinary School;;;
北京文匯大學;北京文匯大學;Beijing Wenhui University;;;
北京文治大學;北京文治大學;Beijing Wenzhi University;;;
北京育英大學;北京育英大學;Beijing Yuying University;;;
北滿工業大學;北滿工業大學;Beiman University of Technology;;;
北洋女子師範學校;北洋女子師範學校;Beiyang Girls' Normal School;;;
北洋法政學校;北洋法政專門學堂;Beiyang Law and Politics School;;;
北洋武備學堂;北洋武備學堂;Beiyang Military Academy;;;
北洋大學;北洋大學;Beiyang University;;;
北洋大學堂;北洋大學堂;Beiyang University;;;
北洋大學工學院;北洋大學工學院;Beiyang University;;;
伯特利產科學校;伯特利產科學校;Bethel Maternity School;;;
伯特利醫學學校;伯特利醫學學校;Bethel School of Medicine;;;
並州大學;並州大學;Bingzhou University;;;
布裏村留法初級工藝學校;布裏村留法初級工藝學校;Brie Village Elementary School of Arts and Crafts;;;
布林馬爾大學;布林馬爾大學;Brynmar University;;;
商業專校;商業專科學校;Business Vocational School;;;
扶余私立女子師範講習所;扶余私立女子師範講習所;Buyu Private Women's Teacher Training Center;;;
康托爾培裏耶稣會文學院;康托爾培裏耶稣會文學院;Cantor Perry Jesuit College of Arts;;;
中央陸軍軍官學校;中央陸軍軍官學校;Central Army Military Academy;;;
中央陸軍軍官學校武漢分校教遵隊;中央陸軍軍官學校;Central Army Military Academy;;;
中央軍需學校;中央陸軍軍需學校;Central Army Supply School;;;
中央陸軍軍需學校第四期;中央陸軍軍需學校;Central Army Supply School;;;
中央陸軍測量學校高等科;中央陸軍測量學校;Central Army Surveying School;;;
中央航空學校;中央航空學校;Central Aviation School;;;
中央陸地測量學校;中央陸地測量學校;Central Land Survey School;;;
中央軍官學校;中央軍官學校;Central Military Academy;;;
中央軍事政治學校;中央軍事政治學校;Central Military Political School;;;
中央軍校;中央軍政學校;Central Military and Political School;;;
中央軍校十四期;中央軍政學校;Central Military and Political School;;;
中央軍校成都分校;中央軍政學校;Central Military and Political School;;;
中央軍校政治學校;中央軍政學校;Central Military and Political School;;;
中央軍校政治班;中央軍政學校;Central Military and Political School;;;
中央軍校特訓班;中央軍政學校;Central Military and Political School;;;
中央軍校軍官訓練班;中央軍政學校;Central Military and Political School;;;
中央軍校軍官高等教育班;中央軍政學校;Central Military and Political School;;;
中央軍校長沙分校;中央軍政學校;Central Military and Political School;;;
中央軍校高教班;中央軍政學校;Central Military and Political School;;;
中央軍校高級班;中央軍政學校;Central Military and Political School;;;
中央軍事政治學校潮州分校;中央軍事政治學校;Central Military Political School;;;
中央黨校;中央黨務學校;Central Party School;;;
中央黨務學校;中央黨務學校;Central Party School;;;
中央警官學校;中央警官學校;Central Police Academy;;;
中央警官學校高級班;中央警官學校;Central Police Academy;;;
中央警校;中央警官學校;Central Police Academy;;;
中央警校正科;中央警官學校;Central Police Academy;;;
中央警校特訓班;中央警官學校;Central Police Academy;;;
中央警校訓練班;中央警官學校;Central Police Academy;;;
中央警校高教班;中央警官學校;Central Police Academy;;;
中央警察學校;中央警察學校;Central Police Academy;;;
中央政校;中央政治學校;Central Political School;;;
中央政校人事班;中央政治學校;Central Political School;;;
中央政校人事行政訓練班;中央政治學校;Central Political School;;;
中央政校地政學院;中央政治學校;Central Political School;;;
中央政校外交部;中央政治學校;Central Political School;;;
中央政校大學;中央政治學校;Central Political School;;;
中央政校大學部;中央政治學校;Central Political School;;;
中央政校會計專修科;中央政治學校;Central Political School;;;
中央政校當政軍人事管理訓練班;中央政治學校;Central Political School;;;
中央政校計政學院;中央政治學校;Central Political School;;;
中央政校計政學院統計班;中央政治學校;Central Political School;;;
中央政治學校人事管理人員訓練班;中央政治學校;Central Political School;;;
中央政治學校人事行政人員訓練班;中央政治學校;Central Political School;;;
中央政治學校人事行政訓練班;中央政治學校;Central Political School;;;
中央政治學校合作學院;中央政治學校;Central Political School;;;
中央政治學校地政學院;中央政治學校;Central Political School;;;
中央政治學校大學;中央政治學校;Central Political School;;;
中央政治學校大學部;中央政治學校;Central Political School;;;
中央政治學校大學部財政系;中央政治學校;Central Political School;;;
中央政治學校普通科;中央政治學校;Central Political School;;;
中央政治學校會計專修科;中央政治學校;Central Political School;;;
中央政治學校會計專科;中央政治學校;Central Political School;;;
中央政治學校會計專科學校;中央政治學校;Central Political School;;;
中央政治學校特訓班;中央政治學校;Central Political School;;;
中央政治學校研究部研究員;中央政治學校;Central Political School;;;
中央政治學校統計專修科;中央政治學校;Central Political School;;;
中央政治學校統計組;中央政治學校;Central Political School;;;
中央政治學校葉政學院;中央政治學校;Central Political School;;;
中央政治學校蒙藏華僑特別班;中央政治學校;Central Political School;;;
中央政治學校計政學院;中央政治學校;Central Political School;;;
中央政治學校認識行政人員訓練班;中央政治學校;Central Political School;;;
中央政治學校高等科;中央政治學校;Central Political School;;;
中政校;中央政治學校;Central Political School;;;
中政校人事班;中央政治學校;Central Political School;;;
中政校人事管理人員訓練班;中央政治學校;Central Political School;;;
中政校人事行政人員訓練班;中央政治學校;Central Political School;;;
中政校人事行政訓練班;中央政治學校;Central Political School;;;
中政校人事行政訓練班第二期;中央政治學校;Central Political School;;;
中政校地專;中央政治學校;Central Political School;;;
中政校地政學院;中央政治學校;Central Political School;;;
中政校大學;中央政治學校;Central Political School;;;
中政校大學部;中央政治學校;Central Political School;;;
中央政治學校;中央政治學校;Central Political School;;;
中央政治工作人員養成所;中央政治工作人員養成所;Central Political Staff Training Institute;;;
中央政治大學;中央政治大學;Central Political University;;;
中央體育專門學校;中央體育專門學校;Central Sports College;;;
中央技藝專科學校;中央技藝專科學校;Central Technical College;;;
中央訓練;中央訓練團當政訓練班;Central Training Corps Political Training Class;;;
中央訓練團;中央訓練團當政訓練班;Central Training Corps Political Training Class;;;
中央訓練團當政班;中央訓練團當政訓練班;Central Training Corps Political Training Class;;;
中央訓練團黨政班;中央訓練團當政訓練班;Central Training Corps Political Training Class;;;
中央訓練團黨政班第七期;中央訓練團當政訓練班;Central Training Corps Political Training Class;;;
中央訓練團黨政班第三十期;中央訓練團當政訓練班;Central Training Corps Political Training Class;;;
中央訓練團黨政訓練班;中央訓練團當政訓練班;Central Training Corps Political Training Class;;;
中訓團;中訓團當政訓練班;Central Training Corps Political Training Class;;;
中訓團二十九期;中訓團當政訓練班;Central Training Corps Political Training Class;;;
中訓團留日訓練班;中訓團當政訓練班;Central Training Corps Political Training Class;;;
中訓團當政班;中訓團當政訓練班;Central Training Corps Political Training Class;;;
中央大學;中央大學;Central University;;;
中大;中央大學;Central University;;;
中央大學政治學校;中央大學;Central University;;;
中央大學政治學校高科;中央大學;Central University;;;
中央大學教育學院藝術科;中央大學;Central University;;;
中央大學法學院;中央大學;Central University;;;
塞瑞術斯大學;塞瑞術斯大學;Ceresus University;D;;
察哈爾農業專科學校;察哈爾農業專科學校;Chahar Agricultural College;;;
長春商業學校;長春商業學校;Changchun Business School;;;
長春留日學生預備學校;長春留日學生預備學校;Changchun Preparatory School for Students studying in Japan;;;
常德湘西優級師範學校;常德湘西優級師範學校;Changde Xiangxi Superior Normal School;;;
長沙陸軍軍事政治學校;長沙陸軍軍事政治學校;Changsha Army Military and Political School;;;
長沙師范;長沙師范學校;Changsha Normal School;;;
上海私立昌世中學;昌世中學;Changshi Middle School;;;
長辛店京漢鐵路車務見習所;長辛店京漢鐵路車務見習所;Changxindian Jinghan Railway Train Service Trainee;;;
朝陽學院;朝陽學院;Chaoyang College;;;
杭州藝專研究部;杭州藝專;Hangzhou Art College;;;
朝陽學院法學院;朝陽學院;Chaoyang College;;;
防化學院;防化學院;Chemical Defense College;;;
成都空軍器械學校;成都空軍器械學校;Chengdu Air Force Machinery School;;;
成都聯立高中;成都縣立高級中學;Chengdu County High School;;;
成都錦江公學;成都錦江公學;Chengdu Jinjiang University;;;
成都機器學堂;成都機器學堂;Chengdu Machine School;;;
成都機械工專;成都機械工專;Chengdu Mechanical Engineering College;;;
成都師範大學;成都師範大學;Chengdu Normal University;;;
成都留法勤工儉學預備學校;成都留法勤工儉學預備學校;Chengdu Preparatory School for Work-Study Study in France;;;
成都私立明德學院;成都私立明德學院;Chengdu Private Mingde College;;;
成都大學;成都大學;Chengdu University;;;
上海澄裡小學;澄裡小學;Chengli Primary School;;;
上海承天中學;承天中學;Chengtian Middle School;;;
晨光大學;晨光大學;Chenguang University;;;
上海私立澄衷中學;澄衷中學;Chengzhong Middle School;;;
上海澄衷學堂;澄衷學堂;Chengzhong School;;;
中國學院;中國學院;China Academy;;;
中華藝術大學;中華藝術大學;China Art University;;;
上海中國工學大學部;中國工學大學部;China College of Engineering;;;
上海中國體操學校;中國體操學校;China Gymnastics School;;;
上海中國體操學院;中國體操學校;China Gymnastics School;;;
中國哈薩克佛醫學校;中國哈薩克佛醫學校;China Kazakh Buddhist Medical School;;;
中華法政大學;中華法政大學;China Law and Political University;;;
上海中國公學;中國公學;China Public School;;;
上海中國公學大學;中國公學;China Public School;;;
上海中國公學大學部;中國公學;China Public School;;;
中國公學商科大學;中國公學;China Public School;;;
中國公學大學;中國公學;China Public School;;;
中國公學大學部;中國公學;China Public School;;;
中國無線電工程學校;中國無線電工程學校;China Radio Engineering School;;;
上海中國無線電專門學校;中國無線電專門學校;China Radio School;;;
中國新聞學院;中國新聞學院;China School of Journalism;;;
中國無電專門學校;中國無電專門學校;China Telecommunications College;;;
中國大學;中國大學;China University;;;
中國大學法學院;中國大學;China University;;;
中國大學經濟系;中國大學;China University;;;
上海中國女子體育師范;中國女子體育師范;China Women's Sports Normal University;;;
上海中國青年會全國協會體專;中國青年會全國協會體專;China Youth Association National Association Physical Education School;;;
中新紡織專科學校;中新紡織專科學校;China-Singapore Textile College;;;
中國齒科醫學專門學校;中國齒科醫學專門學校;Chinese College of Dental Medicine;;;
中國公學;中國公學;China Public School;;;
中國紅十字會護士學校;中國紅十字會護士學校;Chinese Red Cross Nursing School;;;
上海持志學院;持志學院;Chizhi College;;;
上海私立持志學院;持志學院;Chizhi College;;;
上海持治學院;持治學院;Chizhi College;;;
上海持志學校;持志學校;Chizhi School;;;
上海持志大學;持志大學;Chizhi University;;;
崇德醫學院;崇德醫學院;Chongde Medical College;;;
重慶法政專門學校;重慶法政專門學校;Chongqing Law and Politics College;;;
重慶第二女子師範學校;重慶第二女子師範學校;Chongqing No. 2 Girls' Normal School;;;
重慶大學;重慶大學;Chongqing University;;;
重慶大學商學院;重慶大學;Chongqing University;;;
重慶大學工學院;重慶大學;Chongqing University;;;
重慶大學會計專修課;重慶大學;Chongqing University;;;
重慶大學統計專修科;重慶大學;Chongqing University;;;
崇正商學校;崇正商學校;Chongzheng Business School;;;
川東？何縣立師范學校;川東縣立師范學校;Chuandong County Normal School;;;
中正醫學院;中正醫學院;Chung Cheng Medical College;;;
中正大學;中正大學;Chung Cheng University;;;
中華大學;中華大學;Zhonghua University;;;
春申大學;春申大學;Chunshen University;;;
科恩學院;科恩學院;Cohen College;;;
專修大學;專修大學;College;;;
藥學專科學校;藥學專科學校;College of Pharmacy;;;
共青團中央團校;共青團中央團校;Communist Youth League Central School;;;
所計算中心;所計算中心;Computing Center;;;
上海建設大學;建設大學;Construction University;;;
大陸商業專門學校;大陸商業專門學校;Continental Commercial College;;;
大陸大學;大陸大學;Continental University;;;
柯勒拉礦業學校;柯勒拉礦業學校;Correra School of Mines;;;
上海聖芳經濟學院;聖芳經濟學院;Cuihua Accounting School;;;
上海萃華會計學校;萃華會計學校;Cuihua Accounting School;;;
文化大學;文化大學;Culture University;;;
庫興學院;庫興學院;Cushing College;;;
大華醫學校;大華醫學校;Dahua Medical School;;;
大連商業學校;大連商業學校;Dalian Business School;;;
大連伏見台公學;大連伏見台公學;Dalian Fushimitai Public School;;;
大連高等女學校;大連高等女學校;Dalian Higher Girls' School;;;
大連鐵道教習所;大連鐵道教習所;Dalian Railway Institute;;;
大連協和實業學校;大連協和實業學校;Dalian Union Industrial School;;;
大連女子技藝學校;大連女子技藝學校;Dalian Women's Art School;;;
湖南省道縣師範學校;湖南省道縣師範學校;Daoxian Normal School of Hunan Province;;;
大埔縣立師範學校;大埔縣立師範學校;Dapu County Normal School;;;
高等大同學校;高等大同學校;Datong College;;;
大同高等學校;大同高等學校;Datong Higher School;;;
大通師範學堂;大通師範學堂;Datong Normal School;;;
大同大學;大同大學;Datong University;;;
大衛•愛紐斯音樂學院;大衛•愛紐斯音樂學院;David Aynius School of Music;;;
上海大夏大學商學院;大夏大學;Daxia University;;;
上海私立大夏大學;大夏大學;Daxia University;;;
大夏大學文學院;大夏大學;Daxia University;;;
大夏大學高師科;大夏大學;Daxia University;;;
德爾夫特科技大學;德爾夫特科技大學;Delft University of Technology;;;
墊江書院;墊江書院;Dianjiang Academy;;;
第戌大學;第戌大學;Dixu University;;;
東斌陸軍學院;東斌陸軍學院;Dongbin Army Academy;;;
東斌軍事學校;東斌軍事學校;Dongbin Military School;;;
東斌學校;東斌學校;Dongbin School;;;
東陸大學;東陸大學;Donglu University;;;
東北講武堂;東北講武堂;Northeast Military Academy;;;
上海東亞體育專科學校;東亞體育專科學校;Dongya Sports Vocational School;;;
德萊伯的西大學;德萊伯的西大學;Dreiber's Western University;;;
德魯浦科技大學;德魯浦科技大學;Drupp University of Technology;;;
待爾模大學;待爾模大學;Durmo University;;;
亞東大學;亞東大學;East Asia University;;;
東亞同文書院;東亞同文書院;Dobun sho-in;;;
東亞體育專科學校;東亞體育專科學校;Dongya Sports Vocational School;;;
華東體育專門學校;華東體育專門學校;East China Sports College;;;
東方大學;東方大學;Eastern University;;;
第八高等學校;第八高等學校;Eighth Higher School;;;
電機學校;電機學校;electrical engineering school;;;
百科學校;百科學校;Encyclopedia School;;;
眼科研究所;眼科研究所;Eye Institute;;;
遠東大學;遠東大學;Far Eastern University;;;
奉天美術專門學校;奉天美術專門學校;Fengtian Art College;;;
奉天文學專門學校;奉天文學專門學校;Fengtian Astronomy College;;;
奉天商業專門學校;奉天商業專門學校;Fengtian Commercial College;;;
奉天水產學校;奉天水產學校;Fengtian Fisheries School;;;
奉天女子職業學校;奉天女子職業學校;Fengtian Girls' Vocational School;;;
奉天高等女學校;奉天高等女學校;Fengtian High School for Girls;;;
奉天高等學堂;奉天高等學堂;Fengtian Higher School;;;
奉天實業補修學校;奉天實業補修學校;Fengtian Industrial Remedial School;;;
奉天日語學校;奉天日語學校;Fengtian Japanese Language School;;;
奉天濟民女子學院;奉天濟民女子學院;Fengtian Jimin Women's College;;;
奉天法政學堂;奉天法政專門學堂;Fengtian Law and Politics School;;;
奉天法政學校;奉天法政專門學校;Fengtian Law and Politics Vocational School;;;
奉天省立法政專門;奉天法政專門學校;Fengtian Law and Politics Vocational School;;;
奉天國立農業大學;奉天國立農業大學;Fengtian National Agricultural University;;;
奉天培英專門學校;奉天培英專門學校;Fengtian Peiying College;;;
奉天警官學校;奉天警官學校;Fengtian Police Officer School;;;
奉天省立第五師範學校;奉天省立第五師範學校;Fengtian Provincial Fifth Normal School;;;
奉天省立第一師範學校;奉天省立第一師範學校;Fengtian Provincial First Normal School;;;
奉天省立第四師範學校;奉天省立第四師範學校;Fengtian Provincial Fourth Normal School;;;
奉天省立女子師範學校;奉天省立女子師範學校;Fengtian Provincial Girls' Normal School;;;
奉天省立海城師範學校;奉天省立海城師範學校;Fengtian Provincial Haicheng Normal School;;;
奉天公立文學專門;奉天省立文學專門學校;Fengtian Provincial Literature Vocational School;;;
奉天省立師範學校;奉天省立師範學校;Fengtian Provincial Normal School;;;
奉天省立第三師範學校;奉天省立第三師範學校;Fengtian Provincial Third Normal School;;;
奉天省立兩級師範高等專修科;奉天省立兩級師範高等專修科;Fengtian Provincial Two-level Normal Higher Education Course;;;
奉天公立外國語專門學校;奉天公立外國語專門學校;Fengtian Public Foreign Language College;;;
奉天公學校;奉天公學校;Fengtian Public School;;;
奉天公立法政專門學校;奉天公立法政專門學校;Fengtian Public School of Law and Politics;;;
奉天公立工業專門學校;奉天公立工業專門學校;Fengtian Public Technical College;;;
奉天文會書院;奉天文會書院;Fengtian Society College;;;
奉天同文商業學校;奉天同文商業學校;Fengtian Tongwen Business School;;;
