Discipline_ZhS_Srce,Discipline_ZhT_Srce,Discipline_Level2,Discipline_Level2_Strd,Discipline_Level1,Discipline_Level1_Strd,Discipline_Level0,Discipline_Level0_ZhT,Level1_code,,,,
文 政治,文 政治,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 政治学 一年,文 政治學 一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 政治学 一年级 第二学期,文 政治學 一年級 第二學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 政治学 二年级 第一学期,文 政治學 二年級 第一學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 政治学 二年级 第二学期,文 政治學 二年級 第二學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 政治学 编级生,文 政治學 編級生,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 政治系 一年,文 政治系 一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 政治系 乙,文 政治系 乙,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教,文 教,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育,文 教育,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育学,文 教育學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育学 一年,文 教育學 一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育学 一年级 第一学期,文 教育學 一年級 第一學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育学 一年级 第二学期,文 教育學 一年級 第二學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育学 三年级,文 教育學 三年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育学 三年级 第二学期,文 教育學 三年級 第二學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育学 二年级 第二学期,文 教育學 二年級 第二學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育系 一年,文 教育系 一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 教育系 乙,文 教育系 乙,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 新闻,文 新聞,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 历史,文 曆史,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文 英文系 一年,文 英文系 一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，中文,文，中文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，儿童福利,文，兒童福利,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，商,文，商,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，外文,文，外文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，政治,文，政治,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，教育,文，教育,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，历史政治,文，曆史政治,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，社会系,文，社會系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，经济,文，經濟,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，经纪商,文，經紀商,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文，英文,文，英文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文一,文一,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文乙,文乙,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文二,文二,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文史科英文系,文史科英文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文史科英语,文史科英語,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文外文,文外文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学,文學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学、戏剧,文學、戲劇,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学一,文學一,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学班一年,文學班一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系,文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系一,文學系一,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系一年,文學系一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系一年生,文學系一年生,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系二,文學系二,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系二年,文學系二年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系二年级,文學系二年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系文一,文學系文一,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系文一年,文學系文一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系第一文教室,文學系第一文教室,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系第二,文學系第二,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学系第二教室,文學系第二教室,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院,文學院,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院【】,文學院【】,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国外国语文学系一年级,文學院中國外國語文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国外文学系一年级,文學院中國外文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学,文學院中國文學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学专修科,文學院中國文學專修科,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系,文學院中國文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系一年,文學院中國文學系一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系一年级,文學院中國文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系三年级,文學院中國文學系三年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系二年,文學院中國文學系二年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系二年级,文學院中國文學系二年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系四年级,文學院中國文學系四年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国文学系文二,文學院中國文學系文二,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中国语言文学,文學院中國語言文學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中文,文學院中文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中文学系,文學院中文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中文系,文學院中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院中文系二,文學院中文系二,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院国文专修,文學院國文專修,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院国文专修科,文學院國文專修科,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院国文系,文學院國文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国文学系,文學院外國文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国文学系俄文组,文學院外國文學系俄文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国文学系英文组,文學院外國文學系英文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国语文学系,文學院外國語文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国语文学系一年级,文學院外國語文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国语文学系三年级,文學院外國語文學系三年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国语文学系转理学院电机工程系,文學院外國語文學系轉理學院電機工程系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国语文系,文學院外國語文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国语文系，后转入文学院政治系,文學院外國語文系，後轉入文學院政治系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外国语系,文學院外國語系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文学系,文學院外文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文学系一年级,文學院外文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文系,文學院外文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文系 俄文组,文學院外文系 俄文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文系（英文组）,文學院外文系（英文組）,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文系（农学院农业经济系）,文學院外文系（農學院農業經濟系）,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文系俄文组,文學院外文系俄文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文系特别生,文學院外文系特別生,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外文系英文组,文學院外文系英文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外语学习,文學院外語學習,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院外语系,文學院外語系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院文学系,文學院文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院文学系二年,文學院文學系二年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院文科中文系,文學院文科中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院本科外文系英文组一年,文學院本科外文系英文組一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院洋文学系,文學院洋文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院英国语言文学,文學院英國語言文學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院英文学校,文學院英文學校,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院英文学习,文學院英文學習,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院英文教育系,文學院英文教育系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院英文系,文學院英文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文学院英语系,文學院英語系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文本中哲,文本中哲,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文本中文,文本中文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文本中文
哲学","文本中文
哲學",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文本国文,文本國文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文本国文
哲学","文本國文
哲學",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文本科中文系,文本科中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文本英文,文本英文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
,文法學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文法学院中国外国语文学系一年级,文法學院中國外國語文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文法学院中国外文学系一年级,文法學院中國外文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文法学院中国文学系一年级,文法學院中國文學系一年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文理学院中文系,文理學院中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文理学院外文系,文理學院外文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文理学院外文系英文组,文理學院外文系英文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文理学院英文系,文理學院英文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科,文科,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科，1年,文科，1年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科，1年级,文科，1年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科，2学期,文科，2學期,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科，2年级,文科，2年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科，3年级,文科，3年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科，二年级,文科，二年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科，社会科，2年级,文科，社會科，2年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科一年,文科一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科三年,文科三年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科中国文学系,文科中國文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科中国文学系二,文科中國文學系二,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科中国语言文学系,文科中國語言文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科中文,文科中文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科中文系,文科中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科中文系二年,文科中文系二年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科外国文学系,文科外國文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科外国文系,文科外國文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科文学,文科文學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科文学系,文科文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科本科,文科本科,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科理科,文科理科,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科研究所,文科研究所,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科研究所中国语言文学系部文学组,文科研究所中國語言文學系部文學組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科研究所中文系,文科研究所中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科英文,文科英文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科英文系,文科英文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科英文系系,文科英文系系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文科英语系,文科英語系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文组,文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文语系,文語系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文预,文預,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
俄文","文預
俄文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
史学","文預
史學",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
哲学","文預
哲學",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
国文","文預
國文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
德文","文預
德文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
政治","文預
政治",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
法学","文預
法學",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
法律","文預
法律",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
法文","文預
法文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
理预","文預
理預",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
经济","文預
經濟",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
英文","文預
英文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"文预
英文
经济","文預
英文
經濟",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
文预科，2年级,文預科，2年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
日文 史学,日文 史學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
日班专修,日班專修,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
普通文科,普通文科,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本学院中国文学系二年,本學院中國文學系二年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本学院文学系,本學院文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本学院文学系二年级,本學院文學系二年級,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本学院新文学系二年,本學院新文學系二年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本科一年中文系,本科一年中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本科中文,本科中文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本科二年文学系,本科二年文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本科外文系一年,本科外文系一年,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本科文科,本科文科,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本院外文系英文组,本院外文系英文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本院文学系,本院文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
本院文学系第二教室,本院文學系第二教室,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
法文,法文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"法文
哲学","法文
哲學",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"法文
经济","法文
經濟",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
法文（选）,法文（選）,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
法文（选）文预,法文（選）文預,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
法文组,法文組,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"法预
德文","法預
德文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"法预
法文","法預
法文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"法预
法文
法律","法預
法文
法律",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
"法预
英文","法預
英文",Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
法预英文,法預英文,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
潍县广文学堂,濰縣廣文學堂,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
研究学院中文系,研究學院中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
研究所国学门,研究所國學門,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
研究所国文门,研究所國文門,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
经,經,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
经学周礼,經學周禮,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
经学左传,經學左傳,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
经学毛诗,經學毛詩,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
联大中文系,聯大中文系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
英吉利语言文学系,英吉利語言文學系,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
英国文学,英國文學,Languages and Literature,文學與外語,Humanities,人文學科,Humanities and Social Sciences,人文社會科學,HUM,,,,
